Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
TX-063,Camp County,65.3,112,1.4,63.9
TX-065,Carson County,59.6,123,2.8,56.8
TX-067,Cass County,65.5,118,1.5,64
TX-069,Castro County,59.3,125,2.7,56.6
TX-071,Chambers County,70.5,121,2.3,68.2
TX-073,Cherokee County,66.8,110,1.4,65.4
TX-075,Childress County,64.2,126,2.9,61.3
TX-077,Clay County,65.5,122,2.1,63.4
TX-079,Cochran County,60.3,122,2.3,58
TX-081,Coke County,66.7,125,2.8,63.9
TX-083,Coleman County,67.4,127,3.2,64.2
TX-085,Collin County,66.5,124,2.7,63.8
TX-087,Collingsworth County,62.3,123,2.5,59.8
TX-089,Colorado County,71.5,126,3.2,68.3
TX-091,Comal County,69.8,125,2.5,67.3
TX-093,Comanche County,68.1,128,3.7,64.4
TX-095,Concho County,67.2,126,3,64.2
TX-097,Cooke County,65.3,118,1.9,63.4
TX-099,Coryell County,67.9,125,2.5,65.4
TX-101,Cottle County,64.6,124,2.4,62.2
TX-103,Crane County,67.6,122,2.9,64.7
TX-105,Crockett County,67.3,127,2.6,64.7
TX-107,Crosby County,62.5,123,2.3,60.2
TX-109,Culberson County,63.1,116,2.1,61
TX-111,Dallam County,55.4,92,0.9,54.5
TX-113,Dallas County,67.7,123,2.4,65.3
TX-115,Dawson County,63.6,116,1.7,61.9
TX-117,Deaf Smith County,58.4,124,2.7,55.7
TX-119,Delta County,65.8,124,2.4,63.4
TX-121,Denton County,66.7,123,2.2,64.5
TX-123,DeWitt County,71.8,125,2.7,69.1
TX-125,Dickens County,64.1,123,2.3,61.8
TX-127,Dimmit County,72.8,121,2.1,70.7
TX-129,Donley County,61.4,124,2.6,58.8
TX-131,Duval County,73.5,120,2.3,71.2
TX-133,Eastland County,66.8,127,3.1,63.7
TX-135,Ector County,65.8,123,2.8,63
TX-137,Edwards County,68,127,2.9,65.1
TX-139,Ellis County,67.8,117,2,65.8
TX-141,El Paso County,64.6,117,2.4,62.2
TX-143,Erath County,68.1,128,3.9,64.2
TX-145,Falls County,67.9,120,2.1,65.8
TX-147,Fannin County,65.7,125,2.7,63
TX-149,Fayette County,71.2,127,3.3,67.9
TX-151,Fisher County,66.2,126,3,63.2
TX-153,Floyd County,61,121,2.1,58.9
TX-155,Foard County,65.5,126,2.7,62.8
TX-157,Fort Bend County,71.2,121,2.6,68.6
TX-159,Franklin County,65.3,115,1.7,63.6
TX-161,Freestone County,67.2,112,1.5,65.7
TX-163,Frio County,72,123,2.3,69.7
TX-165,Gaines County,62.6,119,1.7,60.9
TX-167,Galveston County,71.5,122,2.6,68.9
TX-169,Garza County,64.5,123,2.3,62.2
TX-171,Gillespie County,67.3,125,2.4,64.9
TX-173,Glasscock County,66.1,127,2.9,63.2
TX-175,Goliad County,72,122,2.1,69.9
TX-177,Gonzales County,71.7,126,3,68.7
TX-179,Gray County,60,124,2.7,57.3
TX-181,Grayson County,65.5,121,2.1,63.4
TX-183,Gregg County,65.9,100,0.8,65.1
TX-185,Grimes County,69.4,124,2.3,67.1
TX-187,Guadalupe County,71,126,2.7,68.3
TX-189,Hale County,60.5,122,2.3,58.2
TX-191,Hall County,63.5,123,2.6,60.9
TX-193,Hamilton County,67.9,127,3.2,64.7
TX-195,Hansford County,58.7,117,1.9,56.8
TX-197,Hardeman County,64.9,126,2.8,62.1
TX-199,Hardin County,68.8,122,1.9,66.9
TX-201,Harris County,70.8,122,2.4,68.4
TX-203,Harrison County,66,104,0.9,65.1
TX-205,Hartley County,56.8,111,1.5,55.3
TX-207,Haskell County,66.3,125,2.6,63.7
TX-209,Hays County,69.2,125,2.4,66.8
TX-211,Hemphill County,59.6,115,1.9,57.7
TX-213,Henderson County,66.3,104,1.2,65.1
TX-215,Hidalgo County,75.4,116,1.7,73.7
TX-217,Hill County,67.8,117,2,65.8
TX-219,Hockley County,61.1,122,2.3,58.8
TX-221,Hood County,67.9,128,2.8,65.1
TX-223,Hopkins County,65.6,121,2,63.6
TX-225,Houston County,67.9,119,1.7,66.2
TX-227,Howard County,65.9,124,2.5,63.4
TX-229,Hudspeth County,62.6,118,2,60.6
TX-231,Hunt County,66.1,124,2.7,63.4
TX-233,Hutchinson County,60.3,121,2.5,57.8
TX-235,Irion County,66.6,127,2.7,63.9
TX-237,Jack County,65.7,122,2.3,63.4
TX-239,Jackson County,71.7,124,2.8,68.9
TX-241,Jasper County,68,123,1.9,66.1
TX-243,Jeff Davis County,62.1,116,2,60.1
TX-245,Jefferson County,69.9,119,2,67.9
TX-247,Jim Hogg County,74.6,120,2.5,72.1
TX-249,Jim Wells County,73.6,120,2.3,71.3
TX-251,Johnson County,67.6,123,2.2,65.4
TX-253,Jones County,66.2,122,2.4,63.8
TX-255,Karnes County,71.5,121,2,69.5
TX-257,Kaufman County,67.1,119,1.9,65.2
TX-259,Kendall County,68.5,125,2.4,66.1
TX-261,Kenedy County,74.4,118,2.1,72.3
TX-263,Kent County,65.5,125,2.6,62.9
TX-265,Kerr County,67.1,126,2.5,64.6
TX-267,Kimble County,67.4,127,3.3,64.1
TX-269,King County,65.7,126,2.9,62.8
TX-271,Kinney County,71.1,124,2.3,68.8
TX-273,Kleberg County,74.1,121,2.7,71.4
TX-275,Knox County,66.2,126,2.8,63.4
TX-277,Lamar County,65.2,124,2.2,63
TX-279,Lamb County,60,124,2.4,57.6
TX-281,Lampasas County,67.9,124,2.5,65.4
